idx,les,dk,en
10_Objective_Pronouns,5,dem, = them
10_Objective_Pronouns,7,den, = it/that
10_Objective_Pronouns,8,det, = it/that
10_Objective_Pronouns,9,os, = us
11_Clothing,1,har,= have/has
11_Clothing,10,sko,= shoe
11_Clothing,11,en jakke,= a jacket
11_Clothing,12,jakken,= the jacket
11_Clothing,13,skjorten,= the shirt
11_Clothing,14,skjorterne,= the shirts
11_Clothing,15,bukser,= pants/trousers
11_Clothing,16,bukserne,= the pants/trousers
11_Clothing,17,strømpe,= sock
11_Clothing,18,strømper,= socks
11_Clothing,19,hat,= hat
11_Clothing,2,på,= on
11_Clothing,20,hattene,= the hats
11_Clothing,21,jakkesæt,= suit
11_Clothing,22,jakkesættet,= the suit
11_Clothing,23,tøj,= clothes
11_Clothing,24,tøjet,= the clothes
11_Clothing,3,har på,= wear/wears / am/is/are wearing
11_Clothing,4,frakke,= coat
11_Clothing,5,nederdel,= skirt
11_Clothing,6,nederdelen,= the skirt
11_Clothing,7,nederdele,= skirts
11_Clothing,8,kjole,= dress
11_Clothing,9,kjoler,= dresses
12_VerbsPresent_1,0,går," = walk/walks/ am/is/are walking"
12_VerbsPresent_1,0,har, = have/has
12_VerbsPresent_1,1,løber," = run/runs/ am/is/are running"
12_VerbsPresent_1,1,på, = on
12_VerbsPresent_1,10,gerne have, = like/want/wants to have
12_VerbsPresent_1,11,betaler, = pay/pays
12_VerbsPresent_1,12,kan godt lide, = like/likes
12_VerbsPresent_1,13,leger, = play/plays (playing e.g. children playing together)
12_VerbsPresent_1,14,spiller, = play/plays (a game with rules e.g football/cars)
12_VerbsPresent_1,15,tager, = take/takes
12_VerbsPresent_1,16,tager afsted," = leave/leaves/ am/is/are leaving"
12_VerbsPresent_1,17,bruger, = use/uses
12_VerbsPresent_1,18,elsker, = love/loves
12_VerbsPresent_1,19,regner," = rain/rains/ raining"
12_VerbsPresent_1,2,har på, = wear/wears / am/is/are wearing
12_VerbsPresent_1,2,ser," = see/sees/ am/is/are seeing"
12_VerbsPresent_1,20,fortæller," = tell/tells/ telling"
12_VerbsPresent_1,21,om, = about
12_VerbsPresent_1,22,arbejder," = work/words/ working"
12_VerbsPresent_1,23,finder, = find/finds
12_VerbsPresent_1,24,hører, = hear/hears
12_VerbsPresent_1,25,lytter," = listen/listens/ listening"
12_VerbsPresent_1,26,ved, = know/knows (a fact)
12_VerbsPresent_1,27,til, = to
12_VerbsPresent_1,28,behøver, = need/needs
12_VerbsPresent_1,29,får, = get/gets
12_VerbsPresent_1,3,skriver," = write/writes/ am/is/are writing"
12_VerbsPresent_1,30,kender, = know/knows (someone/someplace)
12_VerbsPresent_1,31,designer, = design/designs
12_VerbsPresent_1,32,viser, = show/shows
12_VerbsPresent_1,33,støtter, = support/supports
12_VerbsPresent_1,4,sover," = sleep/sleeps/ am/is/are sleeping"
12_VerbsPresent_1,5,svømmer," = swim/swims/ am/is/are swimming"
12_VerbsPresent_1,6,rører," = touch/touches/ am/is/are touching"
12_VerbsPresent_1,7,koger, = boil/boils
12_VerbsPresent_1,8,laver, = make/makes
12_VerbsPresent_1,9,synger, = sing/sings
13_Colors,0,blå, = blue
13_Colors,1,grønt, = green
13_Colors,2,gult, = yellow
13_Colors,3,gule," = yellow (definite noun/ or plural)"
13_Colors,4,hvid, = white
13_Colors,5,hvide, = white (plural)
13_Colors,6,rød, = red
13_Colors,7,røde, = red (plural)
