en forfatter,an author
en borgmester,a mayor
dommer,judge/referee
en dommer,a judge/referee
dommere,judges/referees
professionel,professional
professionelle,professionals
skuespillere,actors/actresses
skuespilleren,the actor/actress
soldat,soldier
soldater,soldiers
soldaterne,the soldiers
forfattere,authors
vagt,guard
en vagt,a guard
arkitekt,architect
chef,boss
chefen,the boss/manager
chefer,bosses
erhverv,profession
erhvervet,the profession
en ingeniør,an engineer
ingeniøren,the engineer
en model,a model
kok,cook/chef
kokke,cooks/chefs
landmand,farmer
landmænd,farmers
servitrice,waitress
tjener,waiter/servant
tjeneren,the waiter/servant
modellen,the model
modeller,models
personalet,the staff
et job,a job
generel,general (common singular)
generelle,general (plural or definite)
lille,little (common singular)
næste,next (common singular)
rigtig,real (common singular)
rigtigt,real (neuter singular)
rigtige,real (plural or definite)
samme,same (plural or definite)
små,little (plural or definite)
tosproget,bilingual (common singular)
tosprogede,bilingual (plural or definite)
træt,tired (neuter singular)
trætte,tired (plural or definite)
Lesson 2
åben,open
egen,own (common singular)
eget,own (neuter singular)
egne,own (plural or definite)
fantastiske,amazing/fantastic
lokal,local (common singular)
lokalt,local (neuter singular)
lokale,local (plural or definite)
personlig,personal (common singular)
personlige,personal (plural or definite)
private,private
specielt,special (neuter singular)
specielle,special (plural or definite)
stor,big (common singular)
stort,big (neuter singular)
store,big (plural or definite)
Lesson 3
anderledes,different
beskidt,dirty (neuter singular)
beskidte,dirty (plural or definite)
dansk,Danish (common singular)
danske,Danish (plural or definite)
lovlig,legal (common singular)
lovligt,legal (neuter singular)
lovlige,legal (plural or definite)
menneskelig,human (common singular)
menneskeligt,human (neuter singular)
menneskelige,human (plural)
nylig,recent (common singular)
nylige,recent (plural or definite)
ren,clean (common singular)
rent,clean (plural or definite)
venstre,left
Lesson 4
fremtidige,future
levende,living
mulig,possible (common singular)
muligt,possible (neuter singular)
mulige,possible (plural or definite)
populært,popular (neuter singular)
populære,popular (plural or definite)
tilgængelig,available (common singular)
tilgængeligt,available (neuter singular)
tilgængelige,available (plural or definite)
vigtig,important (common singular)
vigtigt,important (neuter singular)
vigtige,important (plural or definite)
Lesson 5
ansvarlig,responsible (singular common)
ansvarligt,responsible (singular neuter)
endeligt,final (singular neuter)
hel,whole (singular common)
helt,whole/all (neuter singular)
hele,whole/all (plural or definite)
militær,military (singular common)
militære,military (plural or definite)
nødvendig,necessary (common singular)
nødvendigt,necessary (neuter singular)
nødvendige,necessary (plural or definite)
officiel,official (common singular)
officielt,official (neuter singular)
officielle,official (plural or definite)
uafhængigt,independent (neuter singular)
uafhængige,independent (plural or definite)
Lesson 6
fremragende,excellent/fantastic
moderne,modern (plural or definite)
normal,normal (common singular)
normalt,normal (neuter singular)
normale,normal (plural or definite)
ond,evil (common singular)
onde,evil/evil ones (plural or definite)
perfekt,perfect (neuter singular)
perfekte,perfect (plural or definite)
positiv,positive (common singular)
positivt,positive (neuter singular)
positive,positive (plural or definite)
smuk,beautiful (common singular)
smukt,beautiful (neuter singular)
smukke,beautiful (plural or definite)
Lesson 7
forkert,wrong (neuter singular)
forkerte,wrong (plural or definite)
historisk,historical (common singular)
historiske,historical (plural or definite)
interessant,interesting (neuter singular)
interessante,interesting (plural or definite)
kulturel,cultural (common singular)
kulturelt,cultural (neuter singular)
kulturelle,cultural (plural or definite)
religiøs,religious (common singular)
religiøst,religious (neuter singular)
seriøs,serious (common singular)
seriøst,serious (neuter singular)
seriøse,serious (plural or definite)
traditionel,traditional (common singular)
traditionelle,traditional (plural or definite)
Lesson 8
i live,alive
berømt,famous (neuter singular)
berømte,famous (plural or definite)
dyr,expensive (common singular)
dyrt,expensive (neuter singular)
effektiv,effective (common singular)
effektive,effective (plural or definite)
negativ,negative (common singular)
negativt,negative (neuter singular)
negative,negative (plural or definite)
umulig,impossible (common singular)
umuligt,impossible (neuter singular)
umulige,impossible (plural or definite)
underligt,strange (neuter singular)
underlige,strange (plural or definite)
velkendt,familiar (neuter singular)
Lesson 9
bange,afraid/scared (common singular)
bekvem,convenient (common singular)
bekvemt,convenient (neuter singular)
bekvemme,convenient/confartable (plural or definite)
hyppigt,frequent (neuter singular)
hyppige,frequent (plural or definite)
modsatte,opposite
praktisk,convenient/practical (common singular)
praktiske,convenient/practical (plural or definite)
sjov,fun/funny (common singular)
sjovt,fun/funny (neuter singular)
sjove,fun/funny (plural or definite)
trist,sad (neuter singular)
triste,sad (plural or definite)
ked af det,sorry/sad (common singular)
kede af det,sorry/sad (plural or definite)
åbner,open/opens
bor,live/lives/living (in a house)
giver,give/gives/giving
kigger,look/looks/looking
kommer,come/comes/coming
lever,live/lives/ am/is/are alive
studerer,study/studies/studying
tilbyder,offer/offers/offering
inkluderer,include/includes/including
præsenterer,present/presents/presenting/ introduce/introduces/introducing
prøver,try/tries/trying
ændrer,change/changes/changing
spørger,ask/asks/asking
taler,speak/speaks/speaking
underskriver,sign/signs/signing
afmærker,mark/marks/marking
føler,touch/touches/ feel/feels
husker,remember/remembers
ønsker,wish/wishes/ want/wants
står,stand/stands/standing/ written (on the page)
stopper,stop/stops/stopping
synes,think/thinks/thinking (an opinion)/ like/likes
ændrer på,alter/alters/altering
håber,hope/hopes
håber på det,hope/hopes so
opdrager,raise/raises/raising
rækker,hand/hands/handing
søger,look/looks/looking/ search/searches/searching
svigter,fail/ let down
tror,believe/believes/ do/does think/ think/thinks
danser,dance/dances/dancing
følger,follow/follows/folllowing
overvejer,consider/considers/considering
gemmer sig,hide/hides/hiding
returnerer,return/returns
takker,thank/thanks
vender tilbage,returning
begynder,start/starts/ begin/begins/beginning
hviler,rest/rests/resting
slutter,end/ends/ending
stoler på,trust/trusts
svarer,answer/answers/answering
kalder på,call/calls/calling for
redder,save/saves/saving/ rescue/rescues/rescuing
ringer,call/calls/rings
ringer til,call/calls to
tænker,think/thinks/thinking
åbner,open/opens
ændrer,change/changes/changing
bor,live/lives/living (in a house)
giver,give/gives/giving
kigger,look/looks/looking
kommer,come/comes/coming
lever,live/lives/ am/is/are alive
studerer,study/studies/studying
tilbyder,offer/offers/offering
inkluderer,include/includes/including
præsenterer,present/presents/presenting/ introduce/introduces/introducing
prøver,try/tries/trying
ændrer på,alter/alters/altering
spørger,ask/asks/asking
taler,speak/speaks/speaking
underskriver,sign/signs/signing
afmærker,mark/marks/marking
føler,touch/touches/ feel/feels
husker,remember/remembers
ønsker,wish/wishes/ want/wants
står,stand/stands/standing/ written (on the page)
stopper,stop/stops/stopping
synesthink/thinks/thinking (an opinion)/ like/likes
gemmer sig,hide/hides/hiding
håber,hope/hopes
håber på det,hope/hopes so
opdrager,raise/raises/raising
rækker,hand/hands/handing
søger,look/looks/looking/ search/searches/searching
svigter,fail/ let down
tror,believe/believes/ do/does think/ think/thinks
danser,dance/dances/dancing
følger,follow/follows/folllowing
overvejer,consider/considers/considering
kalder på,call/calls/calling for
returnerer,return/returns
takker,thank/thanks
vender tilbage,returning
begynder,start/starts/ begin/begins/beginning
hviler,rest/rests/resting
slutter,end/ends/ending
stoler på,trust/trusts
svarer,answer/answers/answering
redder,save/saves/saving/ rescue/rescues/rescuing
ringer,call/calls/rings
ringer til,call/calls to
tænker,think/thinks/thinking
hus,house
hotel,hotel
badeværelset,the bathroom
strand,beach
kokken,cook (person)
køkken,kitchen
gård,yard/farm/courtyard
restauranten,the restaurant
udenfor,outside
lufthavn,airport
kirke,church (kirkernechurches)
slottet,the castle
land,country
gade,street / gadernestreets
byer,cities (bycity)
sted,place
stedet,instead
langs,along
kontor,office
områderne,the districts
hjem,home
ind,inside
centrum,centery (city)
plads,square (city)
stue,living room
adresserne,the addresses
afdelingen,department
ejendom,property
rum,room
bygning,building
parken,the park
soveværelse,bedroom
distrikterne,the districts
have,garden
øerne,the islands
bank,bank
barerne,the bars
region,region
foran,in front of
derinde,in there
værelse,room
station,station
jorden,the ground
museum,museum
dalen,the valley
kyst,coast
indenfor,within
zone,zone
derude,out there
nabolag,neighborhood
ruten,the route
grænse,limit
hjørnet,the corner
tårn,tower
biograf,movie theater
boulevard,boulevard
derhenne,over there
fængsel,prison
hovedstad,capital city
paladserne,the palaces
samfund,community
landsby,village
havnen,the port
center,center
højre,right
torvet,the square
oven,oven
vest,west
norden,norden
bondegård,farm
zoologisk,zoological
stol,chair
bord,table
seng,bed
skålen,the bowl
ske,spoon
flasken,the bottles
blad,leaf
vinduerne,the windows
fjernsyn,television
radio,radio
spejl,mirror
urene,the clocks
mobiltelefon,cell phone
computeren,the computer
sofa,couch
lampe,lamp
skrivebordet,the desk
kurv,basket
armbåndsur,wrist watch
batteri,battery
sæbe,soap
pungen,the wallet
døren,the door
skærmene,the screens
kasse,box
sengetøjet,the bedding
tv,tv
skraber,scraper
barberer,shaving
tandpastaen,toothpaste
væggene,the walls
telefon tasker,phone bags
hjul,wheel
paraply,umbrella
gulv,floor
tag,roof
brev,letter
svamp,mushroom
nøgle,key
skab,cabinet
svømmebassin,pool
ting,thing
saks,scissors
klokken,o'clock
glas,glass
kopper,copper
pande,forehead
papirerne,the papers
maskine,machine
snor,cord
arkene,the sheets
genstand,object
motor,engine
stykke,piece
pakkerne,the packages
rod,red
flag,flag
kædeme,the chains
roman,novel
pulveret,the powder
kam,comb
giraf,giraffe
hval,whale
abe,monkey
delfin,dolphin
haj,shark
kæledyr,Pet
uger,weeks
ko,cow
pingvin,penguin
gris,pig
vandmand,Aquarius
ræv,fox
ulv,wolf
hjort,deer
husdyr,pets
kanin,rabbit
myre,ant
insekt orm,insect worm
svane,swan
isbjørn,polar bear
egern,squirrel
høne,hen
får,sheep
måge,seagull
solsorte,mirlo (blackbird)
grævling,badger
slangerne,the snakes
pindsvinene,the hedgehogs
enhjørning,unicorn
krone,crown
kæle,cuddle
person,person
fjende,enemy
ven,friend
offentligheden,the public
kæreste,girlfriend
baby,baby
mennesker,people
ungdommen,the youth
kultur,culture
befolkningen,the population
konference,conference
fundament,foundation
komite,committee
forhold,relationship
individ,individual
stk,piece
dame,lady
borger,citizen
offer,offer
folk,people
